neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Manhattan,Chinatown,40.71513,-73.9981,Private room,100,2,1,2016-12-30,0.03,1,0
Brooklyn,Crown Heights,40.66894,-73.93649,Entire home/apt,59,4,34,2019-06-29,2.13,9,49
Brooklyn,Williamsburg,40.70831,-73.96192,Private room,70,1,11,2019-03-11,0.89,1,0
Manhattan,Harlem,40.81084,-73.94482,Entire home/apt,225,30,9,2019-06-22,0.95,4,326
Brooklyn,Greenpoint,40.71982,-73.94742,Entire home/apt,260,2,1,2019-06-30,1.0,1,245
Brooklyn,Bedford-Stuyvesant,40.69129,-73.93338,Private room,50,1,1,2016-07-29,0.03,1,0
Brooklyn,Bedford-Stuyvesant,40.67717,-73.91161,Private room,55,2,28,2019-07-01,3.43,4,167
Brooklyn,Williamsburg,40.71849,-73.94165,Private room,80,3,6,2019-03-24,0.8,1,6
Manhattan,Upper East Side,40.76221,-73.96726,Entire home/apt,140,1,43,2019-06-29,2.51,11,281
Brooklyn,Flatbush,40.65173,-73.96035,Private room,55,3,8,2018-10-25,0.36,1,0
Queens,Elmhurst,40.74133,-73.88345,Private room,41,2,44,2019-06-22,5.24,1,123
Brooklyn,Greenpoint,40.72907,-73.95468,Entire home/apt,112,2,8,2016-10-10,0.18,1,0
Brooklyn,Crown Heights,40.67327,-73.94403,Private room,40,2,7,2018-05-22,0.46,1,0
Brooklyn,Bushwick,40.68397,-73.9074,Entire home/apt,138,2,62,2019-07-01,5.67,1,151
Manhattan,Gramercy,40.73517,-73.98176,Private room,120,2,3,2017-11-25,0.14,1,0
Manhattan,Upper West Side,40.80013,-73.95998,Entire home/apt,150,6,4,2019-03-23,0.17,1,64
Brooklyn,Williamsburg,40.70933,-73.94651,Private room,80,2,3,2019-02-17,0.4,2,0
Brooklyn,Boerum Hill,40.68897,-73.98765,Private room,89,90,47,2015-12-11,0.73,1,365
Queens,Astoria,40.76951,-73.93077,Entire home/apt,125,2,26,2017-10-14,0.64,1,0
Brooklyn,Bedford-Stuyvesant,40.68606,-73.93861,Entire home/apt,100,3,50,2019-06-09,2.16,1,96
Queens,Ozone Park,40.67565,-73.84677,Entire home/apt,60,3,4,2019-06-30,3.43,1,170
Brooklyn,Fort Greene,40.69054,-73.97892,Private room,95,2,5,2019-01-25,0.74,1,0
Brooklyn,South Slope,40.66055,-73.98597,Entire home/apt,159,1,11,2019-06-09,1.05,5,262
Brooklyn,Clinton Hill,40.69445,-73.96401,Entire home/apt,249,4,19,2019-06-07,0.23,1,362
Manhattan,Two Bridges,40.70992,-74.00102,Private room,85,7,2,2018-08-18,0.11,3,311
Manhattan,Harlem,40.81932,-73.95761,Private room,50,2,16,2019-06-28,0.46,1,0
Brooklyn,Gowanus,40.68076,-73.9896,Entire home/apt,190,3,69,2019-07-01,0.79,2,258
Manhattan,Upper East Side,40.76499,-73.95831,Private room,80,1,29,2019-07-04,4.26,4,18
Brooklyn,Fort Greene,40.68906,-73.97897,Private room,88,1,82,2019-06-09,2.45,1,67
Queens,Flushing,40.76108,-73.80736,Private room,32,1,3,2019-05-26,1.76,7,285
Manhattan,Kips Bay,40.74092,-73.97817,Entire home/apt,200,7,9,2019-01-05,0.16,1,291
Queens,Whitestone,40.7866,-73.82207,Private room,65,1,14,2019-06-30,4.77,2,5
Brooklyn,Bushwick,40.68754,-73.91231,Private room,55,7,4,2019-06-06,0.92,1,95
Manhattan,Harlem,40.82331,-73.95454,Private room,89,2,6,2019-05-22,0.95,2,170
Brooklyn,Sunset Park,40.65348,-74.00255,Entire home/apt,800,1,1,2017-08-13,0.04,1,364
Manhattan,Washington Heights,40.83385,-73.94013,Entire home/apt,189,3,45,2019-06-28,4.49,1,180
Manhattan,East Village,40.73107,-73.98213,Private room,100,2,14,2019-05-27,0.3,2,342
Manhattan,East Harlem,40.80759,-73.94103,Entire home/apt,99,5,13,2019-06-17,2.48,3,8
Brooklyn,Brooklyn Heights,40.69263,-73.99438,Entire home/apt,150,30,95,2018-05-26,0.96,1,281
Brooklyn,Bedford-Stuyvesant,40.68615,-73.93095,Private room,75,2,38,2019-01-02,0.51,1,365
Manhattan,Murray Hill,40.74567,-73.97578,Shared room,150,3,17,2019-05-22,1.17,1,14
Manhattan,Harlem,40.82778,-73.94884,Private room,70,1,131,2018-01-20,2.5,1,0
Manhattan,Upper West Side,40.79301,-73.97544,Entire home/apt,124,2,28,2019-05-20,0.79,2,336
Manhattan,East Village,40.72405,-73.9845,Entire home/apt,187,3,1,2019-01-17,0.17,2,0
Manhattan,Little Italy,40.71758,-73.99792,Entire home/apt,95,2,2,2019-07-01,1.33,2,0
Manhattan,Upper West Side,40.78025,-73.97585,Entire home/apt,200,30,5,2018-02-11,0.25,1,0
Brooklyn,Williamsburg,40.71028,-73.95367,Entire home/apt,189,1,52,2019-06-13,2.88,2,0
Manhattan,Upper West Side,40.76877,-73.98371,Entire home/apt,150,5,1,2017-10-30,0.05,1,0
Brooklyn,Prospect-Lefferts Gardens,40.65787,-73.95929,Entire home/apt,130,8,4,2018-08-19,0.18,1,0
Brooklyn,Gowanus,40.67704,-73.9846,Private room,129,1,9,2019-07-06,0.46,17,338
Brooklyn,Prospect-Lefferts Gardens,40.66082,-73.94532,Entire home/apt,79,5,48,2019-02-23,1.64,1,0
Queens,Astoria,40.77182,-73.93129,Entire home/apt,130,4,56,2019-06-15,1.55,1,0
Manhattan,West Village,40.73243,-74.00052,Entire home/apt,219,1,68,2019-06-25,1.15,1,122
Brooklyn,Kensington,40.64261,-73.9835,Entire home/apt,200,1,24,2019-06-24,3.27,1,290
Queens,Jamaica,40.68689,-73.80117,Private room,60,7,5,2019-06-01,0.27,4,160
Manhattan,East Harlem,40.79795,-73.9442,Entire home/apt,160,13,21,2019-07-01,0.88,1,0
Manhattan,Nolita,40.72102,-73.99469,Entire home/apt,280,3,122,2019-06-24,2.35,1,113
Brooklyn,Brooklyn Heights,40.69252,-73.99121,Private room,90,1,87,2019-06-16,4.29,1,108
Manhattan,Harlem,40.8186,-73.94413,Entire home/apt,88,2,24,2019-06-29,0.53,1,39
Queens,Jackson Heights,40.74701,-73.89395,Entire home/apt,96,1,8,2019-06-24,4.44,1,157
Brooklyn,Sunset Park,40.65907,-73.99887,Private room,150,1,1,2019-03-19,0.27,3,365
Manhattan,Upper West Side,40.79632,-73.969,Private room,79,1,7,2019-06-21,5.0,1,42
Manhattan,Upper West Side,40.78466,-73.97276,Entire home/apt,200,2,128,2019-06-17,3.31,1,231
Manhattan,Hell's Kitchen,40.76577,-73.9855,Private room,135,1,101,2019-06-25,2.36,1,365
Manhattan,East Village,40.72361,-73.9847,Entire home/apt,150,1,108,2019-07-04,7.55,4,201
Manhattan,Upper West Side,40.80171,-73.96623,Private room,89,5,55,2018-09-07,2.02,1,0
Brooklyn,Bedford-Stuyvesant,40.69414,-73.94723,Private room,130,3,6,2017-09-09,0.23,1,0
Brooklyn,Bushwick,40.69475,-73.91507,Private room,50,30,1,2018-10-04,0.11,5,361
Manhattan,Upper East Side,40.7752,-73.95572,Entire home/apt,189,5,18,2019-07-03,1.4,1,21
Manhattan,Upper West Side,40.78875,-73.9679,Private room,150,2,5,2018-09-22,0.22,1,0
Brooklyn,South Slope,40.66526,-73.98449,Private room,100,2,1,2015-06-26,0.02,1,0
Brooklyn,Carroll Gardens,40.68321,-73.99681,Entire home/apt,199,2,116,2019-06-23,3.78,2,230
Queens,Forest Hills,40.71588,-73.83266,Entire home/apt,90,1,6,2019-05-19,0.79,1,83
Manhattan,Gramercy,40.73562,-73.98756,Entire home/apt,500,4,49,2019-06-22,1.23,1,249
Manhattan,East Harlem,40.81213,-73.93752,Entire home/apt,95,3,16,2019-06-30,4.07,1,0
Brooklyn,DUMBO,40.70429,-73.98773,Private room,125,2,152,2019-06-23,3.16,2,166
Brooklyn,Greenpoint,40.72559,-73.95033,Private room,145,2,21,2019-04-22,0.45,1,64
Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,2019-06-14,0.29,1,16
Manhattan,East Harlem,40.78721,-73.94131,Private room,99,1,1,2018-11-26,0.13,1,0
Manhattan,Harlem,40.82532,-73.94992,Private room,55,14,66,2019-04-30,1.12,1,17
Manhattan,Lower East Side,40.71763,-73.98359,Entire home/apt,150,1,17,2019-07-07,0.36,3,264
Queens,Ridgewood,40.70878,-73.91727,Entire home/apt,110,5,107,2019-06-21,1.25,1,276
Manhattan,Chinatown,40.71379,-73.99112,Entire home/apt,170,3,39,2019-07-03,0.85,1,19
Queens,Astoria,40.768,-73.92429,Entire home/apt,70,2,13,2019-01-11,0.28,1,159
Manhattan,East Village,40.72888,-73.98109,Entire home/apt,240,3,7,2019-05-29,1.79,1,99
Manhattan,Gramercy,40.73446,-73.9867,Private room,99,2,8,2019-07-04,3.53,4,13
Manhattan,Roosevelt Island,40.76506,-73.94662,Private room,99,1,2,2018-07-21,0.16,1,0
Brooklyn,Fort Greene,40.68925,-73.97108,Entire home/apt,165,2,16,2019-06-20,3.72,1,29
Manhattan,Harlem,40.82511,-73.94961,Entire home/apt,5000,1,2,2019-02-23,0.38,2,150
Manhattan,Chelsea,40.74488,-74.001,Entire home/apt,132,4,10,2017-01-01,0.1,1,0
Brooklyn,Bedford-Stuyvesant,40.68543,-73.93838,Entire home/apt,150,10,10,2019-05-26,0.17,2,185
Manhattan,Chelsea,40.74339,-73.99642,Entire home/apt,450,2,139,2019-06-20,3.73,1,221
Manhattan,Financial District,40.70803,-74.00502,Entire home/apt,169,29,2,2019-02-10,0.27,96,337
Brooklyn,Williamsburg,40.71824,-73.95175,Entire home/apt,1000,1,9,2019-04-27,0.66,1,88
Manhattan,Hell's Kitchen,40.76129,-73.9943,Private room,250,1,4,2018-12-16,0.44,1,365
Brooklyn,Bedford-Stuyvesant,40.6921,-73.93502,Private room,59,1,181,2019-07-06,6.65,1,34
Queens,Arverne,40.59279,-73.79993,Private room,80,1,1,2019-07-06,1.0,1,90
Brooklyn,Williamsburg,40.71684,-73.94256,Private room,200,4,2,2017-04-21,0.07,1,0
Manhattan,Murray Hill,40.74716,-73.97607,Entire home/apt,500,1,1,2015-09-28,0.02,1,0
Brooklyn,Bushwick,40.69305,-73.90398,Entire home/apt,125,2,116,2019-07-04,1.55,1,365
Manhattan,Hell's Kitchen,40.7659,-73.99543,Entire home/apt,200,2,2,2015-01-02,0.04,1,0
Manhattan,Midtown,40.75083,-73.97151,Entire home/apt,700,5,23,2019-05-08,0.68,1,179
Brooklyn,Williamsburg,40.7191,-73.94494,Entire home/apt,190,1,7,2019-07-06,7.0,1,210
Manhattan,Financial District,40.71064,-74.00754,Entire home/apt,185,15,11,2019-05-29,1.23,2,331
Manhattan,Theater District,40.76384,-73.98492,Private room,105,8,1,2017-12-08,0.05,1,0
Queens,Ridgewood,40.70729,-73.91697,Entire home/apt,98,2,157,2019-07-05,2.73,1,15
Queens,Astoria,40.75537,-73.91648,Private room,46,4,70,2019-05-23,0.93,2,173
Brooklyn,Bushwick,40.68541,-73.91211,Private room,53,2,56,2019-06-01,1.12,2,81
Manhattan,Lower East Side,40.7188,-73.99458,Private room,99,3,10,2017-01-01,0.28,1,0
Manhattan,Midtown,40.75855,-73.96961,Entire home/apt,140,1,3,2018-12-09,0.37,1,0
Queens,Long Island City,40.74417,-73.94964,Private room,55,1,33,2019-04-22,2.1,2,293
Manhattan,Lower East Side,40.72292,-73.99307,Entire home/apt,200,30,7,2018-10-22,0.19,7,0
Brooklyn,Crown Heights,40.6746,-73.9474,Entire home/apt,90,1,51,2019-07-07,4.47,1,2
Staten Island,Tompkinsville,40.63515,-74.07929,Private room,85,2,29,2019-07-07,5.0,3,296
Brooklyn,Williamsburg,40.71437,-73.94133,Private room,70,5,3,2019-06-26,1.58,1,66
Queens,Fresh Meadows,40.75085,-73.7854,Entire home/apt,114,2,7,2019-07-05,3.23,1,359
Brooklyn,Park Slope,40.67719,-73.98142,Private room,50,1,113,2019-06-16,2.87,2,352
Manhattan,East Harlem,40.80023,-73.93822,Private room,35,1,1,2015-07-22,0.02,1,0
Queens,Long Island City,40.7502,-73.94189,Private room,70,1,144,2019-06-17,1.68,2,340
Brooklyn,Bay Ridge,40.62165,-74.02336,Entire home/apt,245,3,18,2019-06-10,1.94,2,255
Manhattan,Hell's Kitchen,40.76517,-73.99331,Entire home/apt,115,30,6,2019-06-05,0.17,31,331
Manhattan,Upper East Side,40.7814,-73.95206,Shared room,50,1,38,2019-06-30,6.48,4,238
Queens,Flushing,40.76376,-73.83094,Private room,55,1,40,2019-05-26,1.83,4,342
Queens,Middle Village,40.71285,-73.87627,Entire home/apt,250,2,4,2018-10-07,0.19,1,364
Manhattan,Morningside Heights,40.80723,-73.96222,Private room,50,5,18,2019-06-16,0.72,1,157
Manhattan,Upper East Side,40.78139,-73.95261,Shared room,175,1,1,2015-09-28,0.02,1,0
Brooklyn,Greenpoint,40.73128,-73.95358,Private room,99,1,11,2019-03-31,1.2,1,0
Manhattan,Midtown,40.75414,-73.96595,Entire home/apt,699,3,3,2019-03-03,0.5,49,204
Manhattan,Lower East Side,40.72049,-73.98816,Entire home/apt,120,2,2,2019-06-23,1.36,1,67
Brooklyn,Williamsburg,40.71617,-73.95379,Entire home/apt,350,5,54,2019-06-18,1.38,1,274
Bronx,Concourse,40.81954,-73.92715,Private room,105,1,3,2018-09-16,0.14,2,365
Brooklyn,Crown Heights,40.68054,-73.96278,Entire home/apt,190,2,1,2018-08-10,0.09,1,0
Manhattan,Harlem,40.80577,-73.94708,Private room,120,2,11,2017-06-22,0.25,2,263
Queens,Springfield Gardens,40.68132,-73.75403,Private room,89,1,220,2019-06-28,7.23,1,319
Queens,Astoria,40.76822,-73.90783,Private room,85,1,1,2019-06-17,1.0,3,60
Manhattan,Harlem,40.82855,-73.94745,Private room,55,1,7,2016-06-12,0.18,1,0
Brooklyn,Greenpoint,40.72595,-73.94143,Entire home/apt,149,30,2,2017-07-03,0.08,52,341
Manhattan,Upper West Side,40.7737,-73.99027,Private room,99,1,7,2018-08-31,0.61,1,0
Manhattan,Kips Bay,40.74202,-73.98032,Private room,95,5,1,2016-09-04,0.03,3,0
Staten Island,Grymes Hill,40.61201,-74.09513,Entire home/apt,200,1,1,2015-11-01,0.02,1,0
Bronx,Highbridge,40.84103,-73.92701,Private room,42,2,62,2019-06-24,2.76,5,1
Manhattan,East Village,40.72603,-73.98897,Private room,128,7,15,2019-04-13,0.26,1,249
Queens,Ridgewood,40.69962,-73.90439,Entire home/apt,125,2,108,2019-06-16,2.28,1,321
Brooklyn,Prospect Heights,40.67909,-73.97315,Entire home/apt,250,5,17,2018-12-31,0.33,1,36
Manhattan,Lower East Side,40.72083,-73.99205,Private room,95,6,2,2017-08-04,0.08,1,0
Brooklyn,Cobble Hill,40.68834,-73.9989,Entire home/apt,170,2,5,2019-06-19,2.31,1,43
Manhattan,Gramercy,40.73558,-73.9852,Entire home/apt,150,30,1,2017-08-31,0.04,96,282
Manhattan,Upper West Side,40.78363,-73.97797,Entire home/apt,349,3,58,2019-06-18,0.7,1,341
Brooklyn,Prospect-Lefferts Gardens,40.66275,-73.96122,Private room,65,10,94,2017-08-22,2.4,2,0
Queens,Long Island City,40.7625,-73.93919,Entire home/apt,225,1,1,2014-05-29,0.02,1,0
Brooklyn,Brooklyn Heights,40.69134,-73.99334,Entire home/apt,185,2,10,2017-09-20,0.2,1,0
Brooklyn,Williamsburg,40.71153,-73.96088,Entire home/apt,195,3,4,2018-09-24,0.22,1,0
Manhattan,Harlem,40.82763,-73.94404,Private room,63,1,19,2019-07-02,7.92,2,16
Manhattan,Upper West Side,40.80055,-73.96011,Entire home/apt,129,3,6,2019-05-14,0.14,1,0
Brooklyn,Williamsburg,40.71486,-73.95705,Private room,75,2,8,2018-06-25,0.58,1,0
Brooklyn,Crown Heights,40.67254,-73.95541,Private room,94,1,9,2018-11-01,0.46,1,0
Brooklyn,Greenpoint,40.72901,-73.95812,Private room,91,3,241,2019-06-24,2.49,1,287
Brooklyn,Williamsburg,40.71745,-73.9569,Private room,60,3,1,2017-01-03,0.03,1,0
Brooklyn,Bay Ridge,40.62638,-74.01837,Shared room,18,9,1,2019-06-15,1.0,12,0
Manhattan,Gramercy,40.73568,-73.98188,Private room,95,2,4,2019-06-15,1.43,1,0
Manhattan,Upper East Side,40.76205,-73.96382,Entire home/apt,328,2,145,2019-06-12,3.05,1,298
Manhattan,Harlem,40.80874,-73.94167,Entire home/apt,300,30,3,2019-04-30,0.27,4,0
Queens,East Elmhurst,40.76444,-73.86907,Private room,80,1,73,2019-07-06,4.57,2,30
Queens,Woodhaven,40.69642,-73.8502,Private room,42,3,5,2018-08-11,0.36,2,281
Staten Island,Stapleton,40.62766,-74.07988,Private room,110,2,6,2019-01-01,0.19,1,363
Manhattan,Harlem,40.81185,-73.94579,Private room,90,2,67,2019-06-22,1.54,1,211
Staten Island,Tompkinsville,40.63568,-74.07826,Entire home/apt,75,4,117,2019-07-01,4.31,3,173
Brooklyn,Bushwick,40.69748,-73.92588,Entire home/apt,75,2,84,2019-06-23,2.61,1,322
Brooklyn,Park Slope,40.67507,-73.98093,Entire home/apt,150,3,76,2019-06-01,0.98,1,266
Brooklyn,Bedford-Stuyvesant,40.68306,-73.93141,Entire home/apt,145,2,222,2019-06-26,4.15,4,109
Brooklyn,Bedford-Stuyvesant,40.68947,-73.95269,Private room,99,5,1,2019-01-02,0.16,1,0
Brooklyn,Bedford-Stuyvesant,40.69154,-73.93191,Private room,95,1,87,2019-06-30,3.91,1,31
Manhattan,Hell's Kitchen,40.76557,-73.99174,Private room,120,1,56,2019-06-30,5.81,1,4
Brooklyn,Bedford-Stuyvesant,40.69516,-73.93462,Entire home/apt,125,3,2,2018-07-29,0.17,1,0
Manhattan,Harlem,40.81303,-73.95285,Private room,180,1,13,2019-06-26,3.05,1,296
Manhattan,Chelsea,40.75121,-73.99812,Entire home/apt,169,30,1,2017-11-20,0.05,121,282
Manhattan,Harlem,40.81394,-73.95334,Private room,69,2,13,2018-01-07,0.62,9,112
Bronx,Van Nest,40.84119,-73.87049,Shared room,20,10,2,2019-06-30,0.32,4,114
Manhattan,Hell's Kitchen,40.76486,-73.98682,Entire home/apt,200,2,6,2017-08-27,0.2,1,0
Manhattan,Gramercy,40.73375,-73.98704,Entire home/apt,177,3,12,2016-07-21,0.3,1,0
Brooklyn,Williamsburg,40.71524,-73.94299,Private room,45,1,17,2019-05-12,0.55,1,354
Manhattan,Washington Heights,40.85842,-73.92928,Private room,79,1,7,2017-03-19,0.21,1,0
Manhattan,Hell's Kitchen,40.76172,-73.99917,Entire home/apt,189,3,4,2015-12-15,0.09,1,0
Manhattan,Gramercy,40.73742,-73.98219,Entire home/apt,265,2,58,2019-06-09,2.65,3,323
Brooklyn,East Flatbush,40.63659,-73.94734,Private room,40,1,15,2019-06-30,2.37,1,90
Brooklyn,Crown Heights,40.67777,-73.95131,Entire home/apt,100,6,13,2019-01-04,0.26,1,0
Manhattan,Midtown,40.75199,-73.9725,Entire home/apt,350,3,17,2019-05-30,2.49,1,33
Brooklyn,Bedford-Stuyvesant,40.68904,-73.9428,Private room,68,1,37,2019-01-20,1.84,1,0
Brooklyn,Bedford-Stuyvesant,40.68423,-73.95715,Entire home/apt,209,2,7,2019-05-01,0.23,1,201
Brooklyn,Boerum Hill,40.68724,-73.98497,Entire home/apt,120,30,7,2019-06-19,0.38,21,342
Manhattan,Kips Bay,40.74442,-73.98047,Entire home/apt,225,1,1,2019-06-30,1.0,1,221
Queens,Queens Village,40.71846,-73.75584,Entire home/apt,75,5,85,2019-05-25,1.9,1,332
Brooklyn,Carroll Gardens,40.67948,-73.99531,Entire home/apt,147,6,14,2019-06-21,1.84,1,14
Brooklyn,East New York,40.66929,-73.89079,Entire home/apt,133,2,73,2019-06-23,2.98,2,171
Manhattan,Hell's Kitchen,40.76091,-73.99126,Entire home/apt,299,4,16,2019-06-26,5.45,1,59
Brooklyn,Downtown Brooklyn,40.68879,-73.98127,Entire home/apt,150,1,68,2019-04-29,1.49,1,74
Queens,Astoria,40.76305,-73.91874,Private room,40,5,1,2018-09-08,0.1,1,0
Manhattan,Hell's Kitchen,40.76376,-73.99323,Entire home/apt,80,30,5,2018-06-16,0.12,5,365
Brooklyn,Park Slope,40.67149,-73.97957,Entire home/apt,300,4,3,2019-04-22,0.47,1,350
Manhattan,Upper East Side,40.78172,-73.94827,Entire home/apt,225,3,62,2019-06-20,2.27,1,234
Queens,Astoria,40.75722,-73.92716,Entire home/apt,83,2,1,2019-06-04,0.86,1,16
Manhattan,Upper East Side,40.76923,-73.95034,Entire home/apt,159,30,14,2019-05-23,0.3,1,265
Manhattan,Upper West Side,40.8028,-73.96678,Private room,50,2,8,2016-07-01,0.21,2,0
Brooklyn,Bushwick,40.69814,-73.92996,Entire home/apt,99,30,13,2018-09-14,0.25,2,280
Brooklyn,Bushwick,40.69783,-73.9301,Private room,55,14,3,2019-01-02,0.21,2,64
Brooklyn,Bushwick,40.69822,-73.92918,Private room,50,2,59,2018-04-22,1.67,1,0
Manhattan,Chelsea,40.74038,-74.00139,Entire home/apt,170,3,2,2019-06-01,1.09,1,39
Brooklyn,Sunset Park,40.64021,-74.00867,Private room,29,1,18,2019-04-27,1.73,5,0
Brooklyn,Kensington,40.64349,-73.9738,Private room,60,3,20,2019-06-30,1.91,1,62
Manhattan,Upper West Side,40.77849,-73.98527,Entire home/apt,374,30,16,2017-01-02,0.35,1,363
Brooklyn,Flatlands,40.62365,-73.93171,Entire home/apt,100,3,17,2019-07-01,1.64,1,89
Brooklyn,Flatbush,40.62961,-73.9572,Entire home/apt,130,1,219,2019-06-13,2.91,1,237
Manhattan,Two Bridges,40.71279,-73.99445,Entire home/apt,111,1,41,2019-06-23,1.17,1,4
Queens,Astoria,40.76042,-73.92073,Entire home/apt,150,1,3,2015-05-15,0.06,1,0
Manhattan,Midtown,40.75302,-73.97221,Private room,699,3,2,2016-12-15,0.06,12,365
Manhattan,Washington Heights,40.83229,-73.94339,Entire home/apt,66,5,8,2018-12-27,0.48,1,0
Bronx,Parkchester,40.83581,-73.85864,Private room,65,2,3,2018-12-02,0.29,2,0
Manhattan,Hell's Kitchen,40.7551,-73.99556,Private room,99,7,8,2019-04-26,0.73,47,362
Manhattan,Chelsea,40.74441,-74.00385,Entire home/apt,350,7,4,2019-06-13,0.43,1,207
Manhattan,Upper West Side,40.77812,-73.98067,Entire home/apt,280,1,1,2015-10-13,0.02,1,0
Queens,Long Island City,40.75819,-73.93213,Private room,90,3,1,2015-10-24,0.02,1,0
Manhattan,West Village,40.73614,-74.00634,Private room,64,5,42,2019-04-10,0.56,1,0
Manhattan,East Harlem,40.80126,-73.9454,Private room,75,3,22,2016-01-05,0.32,3,177
Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,2019-06-22,0.59,1,129
Queens,Astoria,40.76043,-73.91465,Private room,96,2,18,2019-04-28,0.62,1,364
Manhattan,Hell's Kitchen,40.75994,-73.98812,Entire home/apt,259,2,103,2019-06-21,2.29,1,34
Queens,Bellerose,40.72908,-73.72778,Private room,105,3,7,2019-05-31,0.76,2,343
Manhattan,Upper East Side,40.77084,-73.95811,Private room,99,1,20,2019-06-30,0.42,2,278
Brooklyn,Flatbush,40.65327,-73.96573,Private room,60,5,2,2019-05-27,0.32,1,0
Brooklyn,Bedford-Stuyvesant,40.68497,-73.9543,Private room,110,3,38,2019-06-23,3.25,1,101
Manhattan,Upper East Side,40.76446,-73.95603,Private room,86,2,2,2016-03-13,0.04,1,0
Manhattan,Harlem,40.80066,-73.95147,Entire home/apt,150,2,36,2018-11-06,0.78,2,0
Manhattan,East Harlem,40.79933,-73.94272,Private room,98,1,102,2019-07-06,3.43,2,81
Manhattan,Theater District,40.76109,-73.98261,Entire home/apt,200,4,75,2019-06-20,4.36,1,59
Brooklyn,Greenpoint,40.73203,-73.95263,Entire home/apt,65,1,56,2018-10-27,1.58,3,0
Manhattan,East Harlem,40.79519,-73.94115,Entire home/apt,350,3,8,2019-06-29,2.18,1,318
Brooklyn,Williamsburg,40.71319,-73.95669,Entire home/apt,185,2,122,2019-06-10,3.12,1,105
Manhattan,Murray Hill,40.74934,-73.9781,Entire home/apt,150,30,2,2019-06-01,0.87,91,251
Manhattan,Hell's Kitchen,40.75703,-73.99371,Private room,100,1,130,2019-06-23,6.25,2,45
Brooklyn,Brooklyn Heights,40.69082,-73.99281,Entire home/apt,129,1,109,2019-06-14,1.51,1,261
Manhattan,Upper West Side,40.79694,-73.96268,Private room,80,2,17,2019-06-15,1.44,1,126
Brooklyn,Prospect-Lefferts Gardens,40.6608,-73.96197,Private room,45,14,9,2017-04-06,0.19,2,0
Brooklyn,Williamsburg,40.71364,-73.96427,Entire home/apt,130,30,6,2018-07-05,0.17,1,39
Brooklyn,Flatbush,40.64943,-73.96245,Private room,70,3,121,2019-07-01,2.63,1,341
Queens,Douglaston,40.75573,-73.72931,Private room,45,1,17,2019-06-06,0.82,5,325
Brooklyn,Bedford-Stuyvesant,40.69072,-73.92531,Private room,80,1,4,2018-07-05,0.19,1,0
Manhattan,Midtown,40.76507,-73.98393,Entire home/apt,140,5,1,2016-05-04,0.03,1,0
Queens,Long Island City,40.75957,-73.92863,Entire home/apt,155,2,95,2019-06-19,2.86,1,309
Brooklyn,Park Slope,40.67732,-73.98225,Entire home/apt,150,2,214,2019-06-23,2.08,2,263
Queens,Woodhaven,40.68982,-73.85379,Entire home/apt,65,2,85,2019-06-24,2.4,3,311
Manhattan,Upper East Side,40.78139,-73.95379,Private room,87,2,2,2019-07-03,2.0,1,76
Brooklyn,Park Slope,40.67913,-73.97477,Entire home/apt,199,2,45,2019-06-09,2.34,1,302
Manhattan,West Village,40.73174,-74.00309,Entire home/apt,145,3,13,2016-05-06,0.25,1,0
Queens,Queens Village,40.71412,-73.73008,Entire home/apt,59,1,113,2019-07-07,2.79,1,346
Manhattan,Washington Heights,40.85289,-73.93508,Private room,64,1,16,2019-01-02,0.36,2,249
Brooklyn,Bedford-Stuyvesant,40.6995,-73.93987,Private room,50,21,1,2018-10-23,0.12,1,0
Manhattan,SoHo,40.72503,-74.0013,Entire home/apt,185,3,26,2019-06-21,1.81,1,42
Manhattan,Upper West Side,40.79345,-73.97191,Entire home/apt,50,5,12,2017-10-01,0.44,1,0
Brooklyn,Crown Heights,40.67015,-73.95662,Entire home/apt,89,2,8,2018-04-23,0.34,1,0
Manhattan,Gramercy,40.73318,-73.98436,Entire home/apt,118,3,103,2019-07-03,4.02,1,17
Brooklyn,Bedford-Stuyvesant,40.68988,-73.93136,Entire home/apt,85,5,42,2019-06-20,1.27,1,52
Manhattan,Tribeca,40.71854,-74.00352,Entire home/apt,220,3,15,2019-06-21,1.21,1,84
Manhattan,Upper East Side,40.77641,-73.94616,Entire home/apt,89,2,1,2018-02-08,0.06,1,0
Brooklyn,Flatbush,40.64933,-73.96478,Entire home/apt,290,5,4,2018-08-19,0.11,1,0
Manhattan,Lower East Side,40.71952,-73.99313,Private room,71,10,56,2019-05-14,1.08,1,131
Brooklyn,Carroll Gardens,40.68189,-73.99695,Entire home/apt,150,1,6,2016-08-02,0.12,1,0
Brooklyn,Bedford-Stuyvesant,40.68211,-73.92121,Entire home/apt,150,3,109,2019-06-15,2.1,1,343
Manhattan,Harlem,40.82265,-73.94686,Private room,55,21,7,2019-04-30,0.29,1,286
Brooklyn,Gravesend,40.60399,-73.97092,Private room,72,1,61,2019-07-06,0.81,2,335
Manhattan,Chinatown,40.7176,-73.99728,Private room,85,1,3,2019-06-09,2.73,3,55
Brooklyn,Crown Heights,40.66528,-73.93293,Private room,45,2,1,2016-01-10,0.02,1,0
